Name,periodo,lpa,pl,vpa,pVp,pEbit,pEbitda,pAtivos,ebitda,margemEbitda,psr,roe,roa,roic,evEbit,evEbitda,divPayout,beta,valorizacao,negociosDia,volumeDiario,valorMercado,divYield
BBAS3,1998,1.22,5.74,9.31,0.75,0.0,0.0,0.0,0.0,0.0,0.0,13.11,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,33.15,1.0,4983804.0,0.0
BBAS3,1999,1.18,7.09,10.21,0.82,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,20.69,37.33,0.0,5980565.0,2.62
BBAS3,2000,1.37,4.36,11.19,0.53,0.0,0.0,0.0,0.0,0.0,0.0,12.23,0.0,0.0,0.0,0.0,0.0,0.56,-23.53,49.28,0.0,4250473.0,4.19
BBAS3,2001,1.52,6.98,12.29,0.86,0.0,0.0,0.0,0.0,0.0,0.0,12.36,0.0,0.0,0.0,0.0,0.0,0.94,72.73,80.02,1.0,7540027.0,2.93
BBAS3,2002,2.77,3.54,12.56,0.78,0.0,0.0,0.0,0.0,0.0,0.0,22.04,0.0,0.0,0.0,0.0,0.0,1.12,-3.09,178.6,2.0,7173767.0,6.94
BBAS3,2003,3.25,7.38,16.63,1.44,0.0,0.0,0.0,0.0,0.0,0.0,19.55,0.0,0.0,0.0,0.0,0.0,0.79,162.77,248.62,4.0,17568408.0,3.46
BBAS3,2004,3.78,8.59,17.65,1.84,0.0,0.0,0.0,0.0,0.0,0.0,21.44,0.0,0.0,0.0,0.0,0.0,0.98,45.9,276.53,5.0,25979168.0,4.83
BBAS3,2005,5.2,8.12,21.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.65,0.0,0.0,0.0,0.0,0.0,0.85,32.13,371.54,9.0,33732950.0,2.58
BBAS3,2006,7.32,8.74,25.15,2.54,0.0,0.0,0.0,0.0,0.0,0.0,29.11,0.0,0.0,0.0,0.0,0.0,1.13,70.26,741.07,25.0,52820224.0,7.55
BBAS3,2007,2.04,14.88,9.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,20.85,0.0,0.0,0.0,0.0,0.0,0.95,43.28,1575.94,61.0,75268850.0,4.7
BBAS3,2008,3.43,4.28,11.66,1.26,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0,1.11,-48.02,3857.96,94.0,37684088.0,7.7
BBAS3,2009,3.95,7.52,14.06,2.11,0.0,0.0,0.0,0.0,0.0,0.0,28.09,0.0,0.0,0.0,0.0,43.2,0.89,112.23,4762.18,76.0,76290687.0,4.81
BBAS3,2010,4.11,7.64,17.65,1.78,0.0,0.0,0.0,0.0,0.0,0.0,23.29,0.0,0.0,0.0,0.0,45.13,0.92,11.91,7434.6,126.0,89883791.0,5.89
BBAS3,2011,4.27,5.55,20.29,1.17,0.0,0.0,0.0,0.0,0.0,0.0,21.06,0.0,0.0,0.0,0.0,37.38,0.95,-18.95,11307.92,157.0,67910359.0,8.02
BBAS3,2012,4.33,5.92,23.12,1.11,0.0,0.0,0.0,0.0,0.0,0.0,18.71,0.0,0.0,0.0,0.0,44.09,0.98,12.91,13738.26,158.0,72837530.0,6.37
BBAS3,2013,5.63,4.33,24.87,0.98,0.0,0.0,0.0,0.0,0.0,0.0,22.63,0.0,0.0,0.0,0.0,42.33,0.71,4.39,14767.23,179.0,68532622.0,9.71
BBAS3,2014,4.05,5.88,27.86,0.85,0.0,0.0,0.0,0.0,0.0,0.0,14.52,0.0,0.0,0.0,0.0,41.01,1.54,5.91,18127.73,212.0,66473637.0,6.98
BBAS3,2015,5.05,2.92,25.31,0.58,0.0,0.0,0.0,0.0,0.0,0.0,19.96,0.0,0.0,0.0,0.0,40.76,1.61,-28.09,17797.18,144.0,41162216.0,14.04
BBAS3,2016,2.77,10.15,26.6,1.06,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,31.9,1.66,106.5,21716.3,213.0,80489564.0,3.28
BBAS3,2017,3.8,8.38,30.55,1.04,0.0,0.0,0.0,0.0,0.0,0.0,12.43,0.0,0.0,0.0,0.0,24.11,1.67,19.18,17344.41,241.0,91177569.0,2.95
BBAS3,2018,4.41,10.53,32.1,1.45,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,0.0,0.0,0.0,33.25,1.5,47.21,25363.35,422.0,133213236.0,3.27
BBAS3,2019,6.25,8.46,34.51,1.53,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.0,39.78,1.33,12.98,27494.65,560.0,151351326.0,3.69
BBAS3,2020,4.37,8.89,40.74,0.95,0.0,0.0,0.0,0.0,0.0,0.0,10.72,0.0,0.0,0.0,0.0,33.56,1.23,-24.98,42309.57,638.0,111178180.0,3.79
BBAS3,2021,6.83,4.22,46.84,0.62,0.0,0.0,0.0,0.0,0.0,0.0,14.58,0.0,0.0,0.0,0.0,32.97,1.11,-17.33,33635.17,502.0,82667280.0,7.83
BBAS3,2022,9.69,3.71,51.35,0.7,0.0,0.0,0.0,0.0,0.0,0.0,18.87,0.0,0.0,0.0,0.0,36.55,0.96,37.47,37730.35,605.0,102925779.0,10.58
KLBN11,2014,0.77,18.88,7.46,1.96,9.64,6.18,0.77,2651.0,54.0,3.35,10.36,3.45,11.34,16.81,10.78,45.42,0.44,28.12,4665.96,30.0,13801524.0,5.21
